mvalorarriendo,mareac,mnrocuartos,mnrobanos,mnrogarajes,mzona_nombre
2144000,108.0,2.0,2.0,1.0,Noroccidente
1200000,51.0,1.0,1.0,1.0,Noroccidente
1550000,77.0,2.0,3.0,1.0,Noroccidente
1121000,74.0,3.0,2.0,1.0,Noroccidente
1216000,72.0,3.0,2.0,1.0,Noroccidente
1000000,62.0,2.0,1.0,1.0,Suroccidente
1120000,90.0,2.0,2.0,1.0,Noroccidente
750000,60.0,2.0,1.0,0.0,Suroccidente
1095000,103.0,3.0,3.0,1.0,Suroccidente
1600000,70.0,2.0,2.0,2.0,Noroccidente
1600000,67.0,2.0,1.0,0.0,Noroccidente
1394000,87.0,3.0,1.0,1.0,Noroccidente
1500000,69.0,2.0,2.0,1.0,Noroccidente
1500000,93.0,3.0,3.0,1.0,Noroccidente
2200000,68.0,2.0,2.0,1.0,Noroccidente
1600000,95.0,3.0,3.0,1.0,Noroccidente
1600000,86.0,3.0,2.0,1.0,Noroccidente
2000000,166.0,3.0,2.0,1.0,Noroccidente
1300000,76.0,3.0,2.0,1.0,Noroccidente
1100000,57.0,1.0,2.0,1.0,Noroccidente
1000000,37.0,1.0,1.0,1.0,Noroccidente
1100000,102.0,3.0,1.0,1.0,Suroccidente
1500000,90.0,3.0,2.0,1.0,Noroccidente
920000,74.0,2.0,2.0,1.0,Noroccidente
990000,110.0,3.0,2.0,1.0,Suroccidente
550000,15.0,1.0,1.0,0.0,Noroccidente
1750000,114.0,3.0,3.0,1.0,Noroccidente
750000,50.0,1.0,1.0,0.0,Suroccidente
1400000,72.0,3.0,2.0,2.0,Noroccidente
2900000,210.0,3.0,3.0,1.0,Noroccidente
800000,110.0,3.0,1.0,0.0,Noroccidente
910000,70.0,2.0,1.0,0.0,Suroccidente
1700000,55.0,2.0,1.0,1.0,Noroccidente
800000,75.0,2.0,2.0,1.0,Suroccidente
800000,80.0,2.0,2.0,0.0,Suroccidente
750000,42.0,1.0,1.0,0.0,Noroccidente
1070000,73.0,2.0,2.0,1.0,Noroccidente
1390000,94.0,3.0,3.0,1.0,Noroccidente
780000,40.0,1.0,1.0,1.0,Noroccidente
